A* time stamp:
5 ms, start [70; 44], end [74; 72]
8 ms, start [25; 36], end [12; 75]
59 ms, start [19; 7], end [66; 38]
0 ms, start [63; 41], end [72; 49]
20 ms, start [67; 27], end [78; 78]
1 ms, start [40; 50], end [28; 38]
75 ms, start [45; 57], end [31; 96]
63 ms, start [40; 34], end [96; 81]
253 ms, start [26; 79], end [66; 1]
13 ms, start [43; 30], end [12; 46]
137 ms, start [27; 7], end [48; 92]
100 ms, start [64; 47], end [6; 64]
28 ms, start [29; 70], end [39; 85]
85 ms, start [52; 94], end [23; 57]
9 ms, start [81; 40], end [87; 60]
89 ms, start [82; 95], end [53; 19]
13 ms, start [81; 49], end [57; 5]
7 ms, start [13; 49], end [71; 20]
28 ms, start [58; 54], end [94; 34]
5 ms, start [34; 29], end [69; 2]
394 ms, start [8; 50], end [76; 84]
17 ms, start [8; 28], end [49; 41]
63 ms, start [34; 83], end [0; 58]
212 ms, start [84; 51], end [0; 55]
807 ms, start [6; 96], end [62; 4]
5 ms, start [97; 30], end [80; 46]
83 ms, start [50; 52], end [5; 17]
85 ms, start [17; 78], end [64; 73]
22 ms, start [61; 48], end [15; 44]
7 ms, start [79; 19], end [50; 1]
19 ms, start [8; 98], end [75; 95]
3 ms, start [1; 47], end [13; 36]
73 ms, start [38; 53], end [89; 53]
64 ms, start [40; 0], end [34; 32]
2 ms, start [7; 10], end [30; 4]
239 ms, start [73; 75], end [12; 43]
52 ms, start [32; 48], end [4; 12]
56 ms, start [67; 3], end [12; 25]
25 ms, start [52; 84], end [80; 94]
21 ms, start [60; 54], end [48; 95]
16 ms, start [2; 7], end [81; 73]
1 ms, start [45; 50], end [32; 76]
